,date,new world order,open society foundation,world economic forum,deep state plan,hunter biden laptop,soros open society,biden laptop story,negative interest rate,official gate foundation,jewish israeli kike,soros network publisher,biden crime family,soros schwab wef,soros klaus schwab,rothschild central bank,biden white house,division white people,director george soros,house dozen time,toast gettum putin,munich security conference,shrewd ruthless ambitious
0,2022-12-24,35,29,36,17,16,15,13,14,0,6,0,0,0,6,9,2,0,0,0,0,0,0
1,2023-01-03,69,39,71,9,1,49,1,0,27,23,23,12,2,6,3,3,9,1,0,0,1,0
2,2023-01-13,110,21,153,4,15,60,12,0,8,5,3,49,41,30,26,11,0,3,0,0,2,0
3,2023-01-23,97,89,37,3,6,118,1,0,0,18,0,33,3,10,9,45,38,29,28,26,0,0
4,2023-02-02,74,73,18,0,10,99,3,0,0,23,0,120,56,11,10,1,63,0,1,0,0,0
5,2023-02-12,41,77,37,3,5,68,0,0,0,22,0,11,2,6,11,1,27,1,1,0,48,43
